,Theta,Phi,Accuracy
160,0.07500000000000001,0.925,13.5525
161,0.07500000000000001,0.9500000000000001,13.0725
162,0.07500000000000001,0.9750000000000001,14.39
163,0.07500000000000001,1.0,13.3825
164,0.1,0.0,98.7175
165,0.1,0.025,98.46
166,0.1,0.05,97.6825
167,0.1,0.07500000000000001,96.8975
168,0.1,0.1,94.4225
169,0.1,0.125,90.035
170,0.1,0.15000000000000002,84.215
171,0.1,0.17500000000000002,77.1425
172,0.1,0.2,73.7825
173,0.1,0.225,70.61
174,0.1,0.25,64.55
175,0.1,0.275,61.0425
176,0.1,0.30000000000000004,54.7375
177,0.1,0.325,51.225
178,0.1,0.35000000000000003,49.7225
179,0.1,0.375,42.1725
180,0.1,0.4,42.6375
181,0.1,0.42500000000000004,35.6025
182,0.1,0.45,38.7125
183,0.1,0.47500000000000003,32.175
184,0.1,0.5,31.385
185,0.1,0.525,26.185
186,0.1,0.55,24.6175
187,0.1,0.5750000000000001,24.98
188,0.1,0.6000000000000001,24.465
189,0.1,0.625,23.79
190,0.1,0.65,21.0775
191,0.1,0.675,21.955
192,0.1,0.7000000000000001,18.3725
193,0.1,0.7250000000000001,18.54
194,0.1,0.75,18.36
195,0.1,0.775,18.65
196,0.1,0.8,16.3275
197,0.1,0.8250000000000001,15.4025
198,0.1,0.8500000000000001,14.8375
199,0.1,0.875,15.775
200,0.1,0.9,13.86
201,0.1,0.925,14.5225
202,0.1,0.9500000000000001,15.3875
203,0.1,0.9750000000000001,14.145
204,0.1,1.0,15.1925
205,0.125,0.0,97.6975
206,0.125,0.025,97.4925
207,0.125,0.05,96.55
208,0.125,0.07500000000000001,94.0975
209,0.125,0.1,92.53
210,0.125,0.125,90.965
211,0.125,0.15000000000000002,83.3325
212,0.125,0.17500000000000002,77.68
213,0.125,0.2,71.855
214,0.125,0.225,67.39
215,0.125,0.25,62.8325
216,0.125,0.275,57.7275
217,0.125,0.30000000000000004,58.8825
218,0.125,0.325,51.9125
219,0.125,0.35000000000000003,48.245
220,0.125,0.375,43.28
221,0.125,0.4,41.335
222,0.125,0.42500000000000004,37.2775
223,0.125,0.45,34.7725
224,0.125,0.47500000000000003,31.4475
225,0.125,0.5,29.185
226,0.125,0.525,29.455
227,0.125,0.55,26.6025
228,0.125,0.5750000000000001,24.8525
229,0.125,0.6000000000000001,24.2975
230,0.125,0.625,21.7025
231,0.125,0.65,21.9125
232,0.125,0.675,18.33
233,0.125,0.7000000000000001,20.6575
234,0.125,0.7250000000000001,20.5025
235,0.125,0.75,17.615
236,0.125,0.775,16.8525
237,0.125,0.8,17.28
238,0.125,0.8250000000000001,15.7225
239,0.125,0.8500000000000001,16.9325
240,0.125,0.875,14.8325
241,0.125,0.9,14.505
242,0.125,0.925,14.3775
243,0.125,0.9500000000000001,14.6175
244,0.125,0.9750000000000001,13.0225
245,0.125,1.0,13.125
246,0.15000000000000002,0.0,95.77
247,0.15000000000000002,0.025,96.4025
248,0.15000000000000002,0.05,94.5575
249,0.15000000000000002,0.07500000000000001,91.315
250,0.15000000000000002,0.1,90.2275
251,0.15000000000000002,0.125,87.5325
252,0.15000000000000002,0.15000000000000002,82.84
253,0.15000000000000002,0.17500000000000002,77.065
254,0.15000000000000002,0.2,68.6
255,0.15000000000000002,0.225,68.3375
256,0.15000000000000002,0.25,60.2025
257,0.15000000000000002,0.275,55.9525
258,0.15000000000000002,0.30000000000000004,55.2825
259,0.15000000000000002,0.325,46.0375
260,0.15000000000000002,0.35000000000000003,44.3525
261,0.15000000000000002,0.375,41.7
262,0.15000000000000002,0.4,39.6225
263,0.15000000000000002,0.42500000000000004,39.2175
264,0.15000000000000002,0.45,32.75
265,0.15000000000000002,0.47500000000000003,31.2425
266,0.15000000000000002,0.5,27.365
267,0.15000000000000002,0.525,27.7325
268,0.15000000000000002,0.55,24.5675
269,0.15000000000000002,0.5750000000000001,22.27
270,0.15000000000000002,0.6000000000000001,24.0275
271,0.15000000000000002,0.625,20.8725
272,0.15000000000000002,0.65,20.6775
273,0.15000000000000002,0.675,19.425
274,0.15000000000000002,0.7000000000000001,19.52
275,0.15000000000000002,0.7250000000000001,19.6975
276,0.15000000000000002,0.75,16.1275
277,0.15000000000000002,0.775,16.0375
278,0.15000000000000002,0.8,17.1125
279,0.15000000000000002,0.8250000000000001,17.03
280,0.15000000000000002,0.8500000000000001,16.6475
281,0.15000000000000002,0.875,14.1775
282,0.15000000000000002,0.9,12.91
283,0.15000000000000002,0.925,14.3525
284,0.15000000000000002,0.9500000000000001,14.8675
285,0.15000000000000002,0.9750000000000001,13.55
286,0.15000000000000002,1.0,15.4875
287,0.17500000000000002,0.0,93.1025
288,0.17500000000000002,0.025,94.2975
289,0.17500000000000002,0.05,92.2125
290,0.17500000000000002,0.07500000000000001,90.4025
291,0.17500000000000002,0.1,90.0025
292,0.17500000000000002,0.125,82.5975
293,0.17500000000000002,0.15000000000000002,78.8875
294,0.17500000000000002,0.17500000000000002,70.885
295,0.17500000000000002,0.2,70.5325
296,0.17500000000000002,0.225,61.8725
297,0.17500000000000002,0.25,61.6475
298,0.17500000000000002,0.275,57.5
299,0.17500000000000002,0.30000000000000004,50.8
300,0.17500000000000002,0.325,50.4475
301,0.17500000000000002,0.35000000000000003,38.545
302,0.17500000000000002,0.375,40.8925
303,0.17500000000000002,0.4,38.4575
304,0.17500000000000002,0.42500000000000004,36.035
305,0.17500000000000002,0.45,32.0275
306,0.17500000000000002,0.47500000000000003,30.5975
307,0.17500000000000002,0.5,33.2375
308,0.17500000000000002,0.525,28.7425
309,0.17500000000000002,0.55,23.6775
310,0.17500000000000002,0.5750000000000001,22.39
311,0.17500000000000002,0.6000000000000001,23.92
312,0.17500000000000002,0.625,20.3
313,0.17500000000000002,0.65,20.165
314,0.17500000000000002,0.675,19.2425
315,0.17500000000000002,0.7000000000000001,19.755
316,0.17500000000000002,0.7250000000000001,19.515
317,0.17500000000000002,0.75,16.145
318,0.17500000000000002,0.775,17.4625
319,0.17500000000000002,0.8,15.2425
320,0.17500000000000002,0.8250000000000001,16.8125
321,0.17500000000000002,0.8500000000000001,15.5025
322,0.17500000000000002,0.875,15.8225
323,0.17500000000000002,0.9,15.0725
324,0.17500000000000002,0.925,13.5725
325,0.17500000000000002,0.9500000000000001,13.6425
326,0.17500000000000002,0.9750000000000001,13.42
327,0.17500000000000002,1.0,12.4025
328,0.2,0.0,91.265
329,0.2,0.025,90.7575
330,0.2,0.05,91.2925
331,0.2,0.07500000000000001,89.0875
332,0.2,0.1,83.605
333,0.2,0.125,83.66
334,0.2,0.15000000000000002,76.6575
335,0.2,0.17500000000000002,72.5375
336,0.2,0.2,69.14
337,0.2,0.225,60.9875
338,0.2,0.25,57.0875
339,0.2,0.275,56.8125
340,0.2,0.30000000000000004,51.795
341,0.2,0.325,46.9875
342,0.2,0.35000000000000003,45.8525
343,0.2,0.375,43.19
344,0.2,0.4,38.0475
345,0.2,0.42500000000000004,34.9675
346,0.2,0.45,30.7675
347,0.2,0.47500000000000003,32.505
348,0.2,0.5,29.8025
349,0.2,0.525,28.3475
350,0.2,0.55,24.905
351,0.2,0.5750000000000001,22.3325
352,0.2,0.6000000000000001,22.9125
353,0.2,0.625,21.29
354,0.2,0.65,22.045
355,0.2,0.675,18.395
356,0.2,0.7000000000000001,16.985
357,0.2,0.7250000000000001,19.8375
358,0.2,0.75,17.1725
359,0.2,0.775,18.1225
360,0.2,0.8,14.5
361,0.2,0.8250000000000001,17.27
362,0.2,0.8500000000000001,14.0725
363,0.2,0.875,16.135
364,0.2,0.9,14.6475
365,0.2,0.925,15.9925
366,0.2,0.9500000000000001,12.8225
367,0.2,0.9750000000000001,12.6825
368,0.2,1.0,12.9375
369,0.225,0.0,88.765
370,0.225,0.025,87.07
371,0.225,0.05,86.9625
372,0.225,0.07500000000000001,83.5
373,0.225,0.1,81.7875
374,0.225,0.125,73.79
375,0.225,0.15000000000000002,74.0675
376,0.225,0.17500000000000002,65.7175
377,0.225,0.2,64.585
378,0.225,0.225,62.3075
379,0.225,0.25,55.8625
380,0.225,0.275,51.4
381,0.225,0.30000000000000004,53.0425
382,0.225,0.325,45.9775
383,0.225,0.35000000000000003,40.11
384,0.225,0.375,40.5325
385,0.225,0.4,37.285
386,0.225,0.42500000000000004,36.095
387,0.225,0.45,29.9775
388,0.225,0.47500000000000003,31.7625
389,0.225,0.5,28.81
390,0.225,0.525,28.265
391,0.225,0.55,26.395
392,0.225,0.5750000000000001,24.745
393,0.225,0.6000000000000001,23.48
394,0.225,0.625,19.055
395,0.225,0.65,21.1575
396,0.225,0.675,18.665
397,0.225,0.7000000000000001,17.71
398,0.225,0.7250000000000001,17.855
399,0.225,0.75,17.65
400,0.225,0.775,16.7125
401,0.225,0.8,13.98
402,0.225,0.8250000000000001,12.405
403,0.225,0.8500000000000001,16.8525
404,0.225,0.875,16.23
405,0.225,0.9,14.13
406,0.225,0.925,14.1425
407,0.225,0.9500000000000001,13.1825
408,0.225,0.9750000000000001,11.56
409,0.225,1.0,12.9575
410,0.25,0.0,84.915
411,0.25,0.025,83.78
412,0.25,0.05,84.2625
413,0.25,0.07500000000000001,78.5175
414,0.25,0.1,79.8775
415,0.25,0.125,73.7025
416,0.25,0.15000000000000002,71.105
417,0.25,0.17500000000000002,68.2675
418,0.25,0.2,62.7375
419,0.25,0.225,57.5025
420,0.25,0.25,59.74
421,0.25,0.275,52.265
422,0.25,0.30000000000000004,49.025
423,0.25,0.325,41.1975
424,0.25,0.35000000000000003,43.3375
425,0.25,0.375,40.4625
426,0.25,0.4,35.8775
427,0.25,0.42500000000000004,36.055
428,0.25,0.45,33.8675
429,0.25,0.47500000000000003,26.7425
430,0.25,0.5,28.4375
431,0.25,0.525,27.64
432,0.25,0.55,26.4925
433,0.25,0.5750000000000001,22.72
434,0.25,0.6000000000000001,23.7325
435,0.25,0.625,21.93
436,0.25,0.65,18.8875
437,0.25,0.675,17.84
438,0.25,0.7000000000000001,18.13
439,0.25,0.7250000000000001,14.9625
440,0.25,0.75,17.6775
441,0.25,0.775,18.0275
442,0.25,0.8,15.5825
443,0.25,0.8250000000000001,16.7475
444,0.25,0.8500000000000001,16.0125
445,0.25,0.875,15.31
446,0.25,0.9,15.63
447,0.25,0.925,14.4375
448,0.25,0.9500000000000001,13.7625
449,0.25,0.9750000000000001,13.3625
450,0.25,1.0,12.5375
451,0.275,0.0,79.35
452,0.275,0.025,79.975
453,0.275,0.05,79.47
454,0.275,0.07500000000000001,77.775
455,0.275,0.1,75.7275
456,0.275,0.125,73.6125
457,0.275,0.15000000000000002,63.23
458,0.275,0.17500000000000002,62.4925
459,0.275,0.2,60.93
460,0.275,0.225,60.0725
461,0.275,0.25,52.155
462,0.275,0.275,47.0
463,0.275,0.30000000000000004,42.4025
464,0.275,0.325,38.46
465,0.275,0.35000000000000003,37.415
466,0.275,0.375,34.2475
467,0.275,0.4,36.005
468,0.275,0.42500000000000004,33.1725
469,0.275,0.45,31.3425
470,0.275,0.47500000000000003,27.89
471,0.275,0.5,27.8425
472,0.275,0.525,24.17
473,0.275,0.55,24.865
474,0.275,0.5750000000000001,22.795
475,0.275,0.6000000000000001,24.4475
476,0.275,0.625,21.955
477,0.275,0.65,20.0075
478,0.275,0.675,20.02
479,0.275,0.7000000000000001,19.8525
480,0.275,0.7250000000000001,19.2925
481,0.275,0.75,17.2125
482,0.275,0.775,17.735
483,0.275,0.8,15.1775
484,0.275,0.8250000000000001,14.4075
485,0.275,0.8500000000000001,17.24
486,0.275,0.875,14.8475
487,0.275,0.9,13.185
488,0.275,0.925,15.9975
489,0.275,0.9500000000000001,13.085
490,0.275,0.9750000000000001,14.14
491,0.275,1.0,13.285
492,0.30000000000000004,0.0,70.585
493,0.30000000000000004,0.025,76.63
494,0.30000000000000004,0.05,74.425
495,0.30000000000000004,0.07500000000000001,72.43
496,0.30000000000000004,0.1,67.3525
497,0.30000000000000004,0.125,67.7125
498,0.30000000000000004,0.15000000000000002,67.2675
499,0.30000000000000004,0.17500000000000002,63.575
500,0.30000000000000004,0.2,57.01
501,0.30000000000000004,0.225,52.435
502,0.30000000000000004,0.25,52.84
503,0.30000000000000004,0.275,49.35
504,0.30000000000000004,0.30000000000000004,44.43
505,0.30000000000000004,0.325,45.815
506,0.30000000000000004,0.35000000000000003,34.0575
507,0.30000000000000004,0.375,36.4025
508,0.30000000000000004,0.4,34.6325
509,0.30000000000000004,0.42500000000000004,29.925
510,0.30000000000000004,0.45,29.6225
511,0.30000000000000004,0.47500000000000003,29.4125
512,0.30000000000000004,0.5,25.9675
513,0.30000000000000004,0.525,27.505
514,0.30000000000000004,0.55,23.775
515,0.30000000000000004,0.5750000000000001,20.38
516,0.30000000000000004,0.6000000000000001,21.955
517,0.30000000000000004,0.625,20.065
518,0.30000000000000004,0.65,18.0925
519,0.30000000000000004,0.675,18.925
520,0.30000000000000004,0.7000000000000001,18.11
521,0.30000000000000004,0.7250000000000001,17.8475
522,0.30000000000000004,0.75,17.04
523,0.30000000000000004,0.775,15.4975
524,0.30000000000000004,0.8,14.9825
525,0.30000000000000004,0.8250000000000001,16.185
526,0.30000000000000004,0.8500000000000001,14.935
527,0.30000000000000004,0.875,15.12
528,0.30000000000000004,0.9,14.0575
529,0.30000000000000004,0.925,14.335
530,0.30000000000000004,0.9500000000000001,14.0725
531,0.30000000000000004,0.9750000000000001,14.165
532,0.30000000000000004,1.0,13.1725
533,0.325,0.0,70.695
534,0.325,0.025,66.6175
535,0.325,0.05,70.05
536,0.325,0.07500000000000001,63.4675
537,0.325,0.1,69.5525
538,0.325,0.125,63.79
539,0.325,0.15000000000000002,59.77
540,0.325,0.17500000000000002,57.4225
541,0.325,0.2,54.615
542,0.325,0.225,49.3475
543,0.325,0.25,42.8575
544,0.325,0.275,44.7725
545,0.325,0.30000000000000004,41.8775
546,0.325,0.325,41.6875
547,0.325,0.35000000000000003,36.395
548,0.325,0.375,31.1725
549,0.325,0.4,32.4575
550,0.325,0.42500000000000004,29.575
551,0.325,0.45,27.77
552,0.325,0.47500000000000003,26.985
553,0.325,0.5,26.1875
554,0.325,0.525,26.12
555,0.325,0.55,22.05
556,0.325,0.5750000000000001,21.455
557,0.325,0.6000000000000001,20.3825
558,0.325,0.625,20.345
559,0.325,0.65,21.1325
560,0.325,0.675,17.7575
561,0.325,0.7000000000000001,19.3125
562,0.325,0.7250000000000001,17.53
563,0.325,0.75,18.48
564,0.325,0.775,15.105
565,0.325,0.8,16.9525
566,0.325,0.8250000000000001,15.1725
567,0.325,0.8500000000000001,14.28
568,0.325,0.875,11.77
569,0.325,0.9,12.335
570,0.325,0.925,15.24
