,Theta,Phi
0,0.19928585188076833,1.3685737284873667
1,1.5937446065581757,2.7503023050043875
2,4.809936053994317,0.7788956574931976
3,5.905396498151418,4.028260297498513
4,2.758058785342649,1.6448690106873889
5,2.413383135038932,1.8084550754692252
6,3.227767255887995,2.595221300855822
7,4.446971229505471,1.2846597338923935
8,4.30151179612494,4.137009021224971
9,1.4721478608081926,6.180105249975361
10,0.38298826397732055,4.9439651039262165
11,3.177186693955047,4.815757504124934
12,0.5546263704795984,0.09792636214315784
13,1.1241870981218793,1.2192230756801006
14,4.696412218964943,4.058477471074425
15,1.0316635972505832,0.8185228522292083
16,0.3074674670227065,1.982735691883846
17,2.894646155218609,2.6012622054235983
18,3.184774205818385,5.244358490162266
19,1.4851574439372546,4.738981407178031
20,2.2566141027767572,5.037859396976644
21,5.172431310762057,2.1762706595180727
22,3.797478542792423,2.580060286664193
23,1.832075728684166,1.3862356872192296
24,6.228148235942933,5.873009611958637
25,5.020261347686363,4.173272009182807
26,2.6330635238178486,0.7502648447005336
27,1.6404705242780964,0.05701182709529604
28,0.007779600745108106,0.37305609039965903
29,4.599522801290543,0.2971442415284088
30,5.944601080863369,4.42606283015888
31,3.729006626064329,2.762981175621964
32,2.4485508415816226,3.207556032737093
33,1.708444654124979,0.264652549662147
34,6.109299770303351,5.944174296306168
35,0.029082863416242572,5.317099070403444
36,6.048211265528198,2.910315756363009
37,0.11429519636332601,3.5346353769389607
38,4.623078361169832,3.3001150063521787
39,3.5549435436699723,1.8118991356351386
40,5.259350463183462,4.09273629968924
41,0.4829265080150222,1.987625948558016
42,0.9183556215783236,1.3411472696117663
43,4.541260968674099,6.233282137262762
44,5.477765788291365,0.6576674967189458
