,Losses,Training Accuracy,Validation Accuracy
0,0.5878584687489241,24.296875,23.125
1,0.5665960556608762,24.6875,24.375
2,0.5508391989629933,23.359375,22.8125
3,0.540337079569271,26.015624999999996,26.5625
4,0.5330854259033916,31.25,31.874999999999996
5,0.527720728729848,36.40625,37.5
6,0.5234512831263206,40.46875,42.5
7,0.5196638166738619,44.0625,46.875
8,0.5161059291345222,47.1875,50.31250000000001
9,0.5128041511802696,48.515625,51.87500000000001
10,0.509603485334489,50.46874999999999,54.0625
11,0.5062787885458694,51.87500000000001,56.56250000000001
12,0.5028752252275196,53.28125,57.8125
13,0.499402900213276,56.875,60.0
14,0.4957826002829228,58.67187499999999,60.9375
15,0.49212036283580274,60.62499999999999,63.74999999999999
16,0.4884319734039151,62.109375,64.6875
17,0.48465962257622525,63.4375,65.0
18,0.48082209946582866,65.234375,65.0
19,0.4769440653474485,66.09375,65.9375
20,0.4729848558052282,67.34375,66.5625
21,0.46898384097626683,67.5,66.25
22,0.4649691887229682,67.5,65.3125
23,0.4608121533702083,68.828125,67.8125
24,0.456501327352569,70.859375,69.375
25,0.4521543112082103,72.34375,70.3125
26,0.4478991654625354,73.4375,71.25
27,0.4439960759496421,73.671875,71.5625
28,0.4395241712592101,73.125,71.25
29,0.43502432686104286,71.875,70.3125
30,0.4304851789818824,70.46875,69.6875
31,0.4261870834214906,69.6875,69.0625
32,0.4218802260107791,70.078125,69.375
33,0.41738870202408895,71.640625,70.3125
34,0.41308556275459535,72.734375,70.625
35,0.4090049716777515,72.578125,70.625
36,0.40489028861307536,71.40625,69.6875
37,0.40091592953708516,69.6875,68.125
38,0.397079414931622,69.21875,68.125
39,0.39335037766173775,67.734375,67.5
40,0.38965386631285376,68.203125,68.125
41,0.3860899085810826,68.828125,68.125
42,0.38262670404623,67.734375,66.875
43,0.3792127163019605,68.203125,67.1875
44,0.37601717001116786,68.984375,68.125
45,0.3730303814513084,68.984375,67.5
46,0.37004891860470573,68.203125,66.5625
47,0.36712893638402366,67.890625,66.875
48,0.36435467134432825,67.65625,66.875
49,0.3616045206258628,66.640625,65.9375
50,0.35893978476555316,66.40625,65.9375
51,0.3562210824613067,67.1875,66.875
52,0.3535334787350384,67.1875,66.5625
53,0.35096695957812923,67.109375,66.5625
54,0.3483849757077532,67.8125,66.5625
55,0.3457861746811848,68.515625,67.1875
56,0.34324330808849657,69.296875,68.125
57,0.3406008994142317,69.609375,68.125
58,0.33784581879744674,69.21875,68.4375
59,0.33512043101056965,69.21875,68.75
60,0.3323280291229381,69.53125,68.75
61,0.3295342706649124,70.0,69.0625
62,0.3267640046977788,70.3125,69.0625
63,0.3238917671189382,70.625,69.0625
64,0.3209479401786737,71.5625,70.0
65,0.3180253659212372,71.875,70.3125
66,0.314980102375011,72.5,70.625
67,0.31192164609586215,72.8125,71.25
68,0.30881876168980793,73.046875,71.25
69,0.30565283039049007,73.515625,71.25
70,0.30234993339558464,74.21875,72.5
71,0.2991144632895907,74.6875,72.8125
72,0.2957803464457471,75.390625,74.375
73,0.2924981972197248,76.328125,75.9375
74,0.28914355659667457,77.265625,77.1875
75,0.2857963164686078,78.671875,78.4375
76,0.28238502758469214,80.625,80.0
77,0.2788927418161778,83.59375,83.4375
78,0.27550596997810456,85.625,87.5
79,0.2718955615612152,88.203125,89.6875
80,0.26853028823724673,90.46875,91.875
81,0.2651054635303281,93.125,94.0625
82,0.26165761701423257,94.140625,95.3125
83,0.2583796777973201,95.625,96.5625
84,0.2550706431084978,96.640625,97.5
85,0.25183471908896277,97.03125,97.5
86,0.24874313361902659,97.578125,97.5
87,0.24570761551545933,97.96875,98.125
88,0.24281675613341167,98.203125,98.125
89,0.2400450032785336,98.59375,98.75
90,0.23735700281359948,98.671875,98.75
91,0.23483356875988073,98.75,99.0625
92,0.2325240630958866,99.0625,98.75
93,0.23029865819140927,99.0625,99.0625
94,0.22815734442359975,98.90625,99.0625
95,0.22618505820087953,98.984375,98.75
96,0.22433896785799226,99.140625,98.75
97,0.22260539770909166,98.984375,99.0625
98,0.22100066985383188,99.140625,99.0625
99,0.21947675037508968,99.0625,99.0625
100,0.21806139886948936,98.90625,99.0625
101,0.21673653554981365,98.90625,99.0625
102,0.21551386019179608,98.828125,99.0625
103,0.21437798021202728,98.75,99.0625
104,0.21330707273498267,98.75,99.0625
105,0.21230367726383487,98.90625,99.0625
106,0.21139628640201708,98.90625,99.0625
107,0.2105116709492887,98.90625,99.0625
108,0.20969362499166616,98.90625,99.0625
109,0.20891992119434613,98.90625,99.0625
110,0.20819701974304167,98.90625,99.0625
111,0.20750874664016056,98.90625,99.0625
112,0.20687975357757438,98.90625,99.0625
113,0.2062542135410908,98.984375,99.0625
114,0.20568252136441373,99.0625,99.0625
115,0.2050961595614631,99.0625,99.375
116,0.2045522977722972,99.0625,99.0625
117,0.20402072841968882,98.984375,99.0625
118,0.203546280948594,98.90625,99.0625
119,0.20307175234794655,98.90625,99.0625
120,0.2026318794284931,98.90625,99.0625
121,0.2022360779821833,98.90625,99.0625
122,0.2018424320037906,98.90625,98.75
123,0.20143889372288482,98.90625,99.0625
124,0.20104494067599638,98.90625,99.0625
125,0.2006777420141404,99.0625,99.0625
126,0.20039905289057014,99.0625,98.75
127,0.20005207712947567,99.0625,98.75
128,0.1997204465970424,99.0625,99.0625
129,0.19939926596415902,99.0625,99.0625
130,0.1991116302464636,99.0625,99.0625
131,0.19884167663101054,99.0625,99.0625
132,0.19862538069520472,99.140625,99.6875
133,0.1983561139721491,99.140625,99.6875
