0.41491, 0.21019, 0.12040, 0.49072
0.07917, 0.19716, 0.08821, 0.61114
0.18555, 0.09304, 0.10746, 0.40076
0.22212, 0.05733, 0.12647, 0.28066
0.15269, 0.08351, 0.08883, 0.37584
0.26799, 0.16158, 0.09899, 0.59928
0.17244, 0.27215, 0.05418, 0.57979
0.11235, 0.13703, 0.04835, 0.32915
0.38459, 0.17744, 0.13362, 0.55700
0.11058, 0.08159, 0.08505, 0.23257
0.07433, 0.20798, 0.02550, 0.56282
0.15914, 0.07163, 0.09294, 0.31000
0.15151, 0.10324, 0.09936, 0.29909
0.10013, 0.09367, 0.06705, 0.37396
0.06531, 0.09868, 0.02263, 0.29673
0.12158, 0.07323, 0.06680, 0.26866
0.33839, 0.24405, 0.08917, 0.57453
0.18752, 0.07312, 0.08757, 0.34944
0.09012, 0.20550, 0.02595, 0.47240
0.30154, 0.19206, 0.09756, 0.59633
0.20559, 0.04616, 0.12896, 0.26577
0.09395, 0.18701, 0.05849, 0.46451
0.21763, 0.05469, 0.12992, 0.27684
0.11184, 0.08034, 0.07428, 0.29182
0.09768, 0.22285, 0.05281, 0.49871
0.08877, 0.11104, 0.09004, 0.35239
0.06737, 0.07805, 0.02873, 0.25669
0.07998, 0.24216, 0.03850, 0.51446
0.12055, 0.10362, 0.06845, 0.29343
0.10516, 0.20323, 0.03691, 0.49424
0.07225, 0.16434, 0.04979, 0.41819
0.07347, 0.23680, 0.04579, 0.58851
0.38188, 0.22331, 0.09918, 0.45020
0.12624, 0.13294, 0.05746, 0.26847
0.16038, 0.05083, 0.09110, 0.25087
0.07736, 0.08481, 0.04840, 0.22524
0.07081, 0.09746, 0.04219, 0.28095
0.13167, 0.07158, 0.06988, 0.18526
0.10277, 0.19025, 0.06993, 0.66074
0.10570, 0.10238, 0.07893, 0.28914
0.30504, 0.17890, 0.09180, 0.46586
0.30879, 0.21088, 0.08159, 0.48521
0.35984, 0.20933, 0.10440, 0.52737
0.09669, 0.26572, 0.04384, 0.58460
0.07938, 0.27433, 0.03035, 0.59980
0.12356, 0.09780, 0.08852, 0.24806
0.11315, 0.24235, 0.03560, 0.49401
0.35769, 0.23268, 0.10846, 0.60404
0.10954, 0.07057, 0.07567, 0.19299
0.08615, 0.09738, 0.04781, 0.32696
0.30834, 0.22514, 0.08705, 0.58777
0.31335, 0.20000, 0.09369, 0.55349
0.17881, 0.09437, 0.09779, 0.38748
0.08902, 0.18082, 0.05243, 0.41772
0.19147, 0.08482, 0.11651, 0.36756
0.34053, 0.19148, 0.11000, 0.57018
0.36418, 0.21884, 0.10555, 0.55864
0.05742, 0.21747, 0.04539, 0.58335
0.10267, 0.24614, 0.03432, 0.58466
0.16922, 0.06331, 0.09484, 0.29142
0.11277, 0.28521, 0.03524, 0.54213
0.32168, 0.18492, 0.11093, 0.58863
0.09359, 0.10371, 0.04682, 0.38339
0.39900, 0.24149, 0.11886, 0.59068
0.10812, 0.12559, 0.03986, 0.33853
0.08572, 0.17426, 0.02809, 0.44934
0.36320, 0.17348, 0.13739, 0.63323
0.21204, 0.05430, 0.13995, 0.26673
0.07506, 0.20351, 0.05250, 0.45088
0.09975, 0.10214, 0.04645, 0.28066
0.12894, 0.09882, 0.07997, 0.29100
0.07664, 0.23613, 0.02920, 0.57496
0.11630, 0.05688, 0.06489, 0.17863
0.20026, 0.06892, 0.11569, 0.33814
0.38396, 0.20733, 0.12451, 0.58994
0.11079, 0.21281, 0.04425, 0.52239
0.29549, 0.22960, 0.08550, 0.56854
0.13258, 0.08492, 0.07748, 0.25918
0.10787, 0.11487, 0.07173, 0.30156
0.18371, 0.06082, 0.10386, 0.27765
0.11312, 0.20196, 0.05768, 0.55784
0.14175, 0.08171, 0.07866, 0.26001
0.25913, 0.16153, 0.08657, 0.52532
0.11712, 0.10061, 0.08479, 0.27270
