,Theta,Phi,Accuracy
159,0.07500000000000001,0.9,13.0475
160,0.07500000000000001,0.925,11.6375
161,0.07500000000000001,0.9500000000000001,13.3775
162,0.07500000000000001,0.9750000000000001,12.0275
163,0.07500000000000001,1.0,12.27
164,0.1,0.0,51.8175
165,0.1,0.025,51.835
166,0.1,0.05,50.965
167,0.1,0.07500000000000001,50.4125
168,0.1,0.1,48.275
169,0.1,0.125,46.765
170,0.1,0.15000000000000002,44.1625
171,0.1,0.17500000000000002,43.3
172,0.1,0.2,41.5875
173,0.1,0.225,39.43
174,0.1,0.25,37.1275
175,0.1,0.275,34.9125
176,0.1,0.30000000000000004,32.265
177,0.1,0.325,29.8575
178,0.1,0.35000000000000003,29.45
179,0.1,0.375,26.505
180,0.1,0.4,25.9875
181,0.1,0.42500000000000004,23.4875
182,0.1,0.45,22.5825
183,0.1,0.47500000000000003,21.4375
184,0.1,0.5,19.5075
185,0.1,0.525,18.9425
186,0.1,0.55,18.43
187,0.1,0.5750000000000001,17.7675
188,0.1,0.6000000000000001,17.3325
189,0.1,0.625,15.3775
190,0.1,0.65,16.1075
191,0.1,0.675,16.19
192,0.1,0.7000000000000001,15.315
193,0.1,0.7250000000000001,14.3775
194,0.1,0.75,14.4625
195,0.1,0.775,13.6225
196,0.1,0.8,13.5525
197,0.1,0.8250000000000001,13.395
198,0.1,0.8500000000000001,13.095
199,0.1,0.875,12.7875
200,0.1,0.9,12.075
201,0.1,0.925,12.61
202,0.1,0.9500000000000001,12.7425
203,0.1,0.9750000000000001,11.945
204,0.1,1.0,11.6075
205,0.125,0.0,50.3975
206,0.125,0.025,49.805
207,0.125,0.05,50.03
208,0.125,0.07500000000000001,47.9025
209,0.125,0.1,46.085
210,0.125,0.125,45.4875
211,0.125,0.15000000000000002,43.055
212,0.125,0.17500000000000002,41.55
213,0.125,0.2,39.9275
214,0.125,0.225,37.1025
215,0.125,0.25,36.515
216,0.125,0.275,35.5825
217,0.125,0.30000000000000004,32.44
218,0.125,0.325,30.87
219,0.125,0.35000000000000003,28.87
220,0.125,0.375,28.345
221,0.125,0.4,25.95
222,0.125,0.42500000000000004,24.3575
223,0.125,0.45,23.0275
224,0.125,0.47500000000000003,21.59
225,0.125,0.5,20.19
226,0.125,0.525,19.98
227,0.125,0.55,18.7825
228,0.125,0.5750000000000001,17.78
229,0.125,0.6000000000000001,16.515
230,0.125,0.625,16.4775
231,0.125,0.65,16.1325
232,0.125,0.675,16.5625
233,0.125,0.7000000000000001,15.58
234,0.125,0.7250000000000001,14.8125
235,0.125,0.75,14.3225
236,0.125,0.775,13.9575
237,0.125,0.8,13.39
238,0.125,0.8250000000000001,12.735
239,0.125,0.8500000000000001,12.71
240,0.125,0.875,13.8425
241,0.125,0.9,11.595
242,0.125,0.925,12.1425
243,0.125,0.9500000000000001,12.645
244,0.125,0.9750000000000001,13.54
245,0.125,1.0,12.36
246,0.15000000000000002,0.0,47.4325
247,0.15000000000000002,0.025,48.665
248,0.15000000000000002,0.05,47.345
249,0.15000000000000002,0.07500000000000001,46.3575
250,0.15000000000000002,0.1,45.7025
251,0.15000000000000002,0.125,44.4825
252,0.15000000000000002,0.15000000000000002,42.1225
253,0.15000000000000002,0.17500000000000002,39.995
254,0.15000000000000002,0.2,38.2375
255,0.15000000000000002,0.225,36.5825
256,0.15000000000000002,0.25,35.2675
257,0.15000000000000002,0.275,33.235
258,0.15000000000000002,0.30000000000000004,32.0875
259,0.15000000000000002,0.325,30.0975
260,0.15000000000000002,0.35000000000000003,27.7725
261,0.15000000000000002,0.375,26.5575
262,0.15000000000000002,0.4,24.5375
263,0.15000000000000002,0.42500000000000004,22.5925
264,0.15000000000000002,0.45,23.1575
265,0.15000000000000002,0.47500000000000003,21.04
266,0.15000000000000002,0.5,19.2575
267,0.15000000000000002,0.525,18.08
268,0.15000000000000002,0.55,19.03
269,0.15000000000000002,0.5750000000000001,17.725
270,0.15000000000000002,0.6000000000000001,18.02
271,0.15000000000000002,0.625,16.3025
272,0.15000000000000002,0.65,15.7725
273,0.15000000000000002,0.675,15.1775
274,0.15000000000000002,0.7000000000000001,14.9625
275,0.15000000000000002,0.7250000000000001,15.47
276,0.15000000000000002,0.75,13.9075
277,0.15000000000000002,0.775,13.52
278,0.15000000000000002,0.8,13.6275
279,0.15000000000000002,0.8250000000000001,13.2975
280,0.15000000000000002,0.8500000000000001,13.7475
281,0.15000000000000002,0.875,12.7025
282,0.15000000000000002,0.9,12.55
283,0.15000000000000002,0.925,12.5275
284,0.15000000000000002,0.9500000000000001,13.2125
285,0.15000000000000002,0.9750000000000001,12.52
286,0.15000000000000002,1.0,12.585
287,0.17500000000000002,0.0,46.3175
288,0.17500000000000002,0.025,46.1325
289,0.17500000000000002,0.05,45.585
290,0.17500000000000002,0.07500000000000001,45.08
291,0.17500000000000002,0.1,43.7325
292,0.17500000000000002,0.125,42.0225
293,0.17500000000000002,0.15000000000000002,40.1775
294,0.17500000000000002,0.17500000000000002,38.685
295,0.17500000000000002,0.2,37.4425
296,0.17500000000000002,0.225,35.1675
297,0.17500000000000002,0.25,34.7475
298,0.17500000000000002,0.275,33.09
299,0.17500000000000002,0.30000000000000004,32.3175
300,0.17500000000000002,0.325,29.2575
301,0.17500000000000002,0.35000000000000003,27.4525
302,0.17500000000000002,0.375,26.0325
303,0.17500000000000002,0.4,24.7325
304,0.17500000000000002,0.42500000000000004,23.2125
305,0.17500000000000002,0.45,22.485
306,0.17500000000000002,0.47500000000000003,21.215
307,0.17500000000000002,0.5,20.98
308,0.17500000000000002,0.525,18.8575
309,0.17500000000000002,0.55,18.715
310,0.17500000000000002,0.5750000000000001,17.8875
311,0.17500000000000002,0.6000000000000001,18.075
312,0.17500000000000002,0.625,16.4825
313,0.17500000000000002,0.65,16.24
314,0.17500000000000002,0.675,14.615
315,0.17500000000000002,0.7000000000000001,15.415
316,0.17500000000000002,0.7250000000000001,15.31
317,0.17500000000000002,0.75,14.2925
318,0.17500000000000002,0.775,14.2275
319,0.17500000000000002,0.8,13.24
320,0.17500000000000002,0.8250000000000001,13.29
321,0.17500000000000002,0.8500000000000001,12.99
322,0.17500000000000002,0.875,12.305
323,0.17500000000000002,0.9,12.52
324,0.17500000000000002,0.925,12.5625
325,0.17500000000000002,0.9500000000000001,12.3675
326,0.17500000000000002,0.9750000000000001,12.425
327,0.17500000000000002,1.0,12.695
328,0.2,0.0,45.05
329,0.2,0.025,43.9725
330,0.2,0.05,42.9475
331,0.2,0.07500000000000001,43.07
332,0.2,0.1,41.105
333,0.2,0.125,41.0325
334,0.2,0.15000000000000002,39.1975
335,0.2,0.17500000000000002,37.4025
336,0.2,0.2,35.475
337,0.2,0.225,34.875
338,0.2,0.25,33.2275
339,0.2,0.275,31.28
340,0.2,0.30000000000000004,29.9975
341,0.2,0.325,29.385
342,0.2,0.35000000000000003,25.3825
343,0.2,0.375,25.07
344,0.2,0.4,23.17
345,0.2,0.42500000000000004,22.0175
346,0.2,0.45,20.475
347,0.2,0.47500000000000003,20.495
348,0.2,0.5,20.46
349,0.2,0.525,20.045
350,0.2,0.55,18.745
351,0.2,0.5750000000000001,16.235
352,0.2,0.6000000000000001,15.99
353,0.2,0.625,16.03
354,0.2,0.65,15.9275
355,0.2,0.675,14.96
356,0.2,0.7000000000000001,15.015
357,0.2,0.7250000000000001,14.655
358,0.2,0.75,13.8525
359,0.2,0.775,13.595
360,0.2,0.8,13.045
361,0.2,0.8250000000000001,13.01
362,0.2,0.8500000000000001,13.5225
363,0.2,0.875,13.5925
364,0.2,0.9,12.395
365,0.2,0.925,11.8175
366,0.2,0.9500000000000001,12.3775
367,0.2,0.9750000000000001,11.95
368,0.2,1.0,12.1675
369,0.225,0.0,41.8175
370,0.225,0.025,43.25
371,0.225,0.05,41.42
372,0.225,0.07500000000000001,40.525
373,0.225,0.1,39.5325
374,0.225,0.125,38.7
375,0.225,0.15000000000000002,37.8875
376,0.225,0.17500000000000002,35.1425
377,0.225,0.2,35.0225
378,0.225,0.225,33.9225
379,0.225,0.25,31.085
380,0.225,0.275,30.1125
381,0.225,0.30000000000000004,27.12
382,0.225,0.325,28.45
383,0.225,0.35000000000000003,26.8175
384,0.225,0.375,24.555
385,0.225,0.4,23.3825
386,0.225,0.42500000000000004,23.21
387,0.225,0.45,21.7125
388,0.225,0.47500000000000003,20.28
389,0.225,0.5,18.975
390,0.225,0.525,18.8025
391,0.225,0.55,18.2925
392,0.225,0.5750000000000001,16.9275
393,0.225,0.6000000000000001,15.9
394,0.225,0.625,16.0125
395,0.225,0.65,15.4175
396,0.225,0.675,15.2625
397,0.225,0.7000000000000001,15.1075
398,0.225,0.7250000000000001,14.6425
399,0.225,0.75,14.505
400,0.225,0.775,13.8
401,0.225,0.8,13.1675
402,0.225,0.8250000000000001,13.4675
403,0.225,0.8500000000000001,12.6425
404,0.225,0.875,13.39
405,0.225,0.9,12.535
406,0.225,0.925,12.15
407,0.225,0.9500000000000001,12.2975
408,0.225,0.9750000000000001,12.1125
409,0.225,1.0,12.43
410,0.25,0.0,40.7275
411,0.25,0.025,40.465
412,0.25,0.05,38.7275
413,0.25,0.07500000000000001,38.8775
414,0.25,0.1,38.14
415,0.25,0.125,36.7675
416,0.25,0.15000000000000002,36.96
417,0.25,0.17500000000000002,34.6025
418,0.25,0.2,33.6775
419,0.25,0.225,31.64
420,0.25,0.25,31.08
421,0.25,0.275,30.2475
422,0.25,0.30000000000000004,27.315
423,0.25,0.325,28.58
424,0.25,0.35000000000000003,24.445
425,0.25,0.375,24.3575
426,0.25,0.4,23.4475
427,0.25,0.42500000000000004,21.8575
428,0.25,0.45,20.39
429,0.25,0.47500000000000003,19.7325
430,0.25,0.5,19.72
431,0.25,0.525,18.1825
432,0.25,0.55,17.3375
433,0.25,0.5750000000000001,17.61
434,0.25,0.6000000000000001,16.2525
435,0.25,0.625,16.5575
436,0.25,0.65,14.97
437,0.25,0.675,15.385
438,0.25,0.7000000000000001,14.195
439,0.25,0.7250000000000001,13.9375
440,0.25,0.75,13.655
441,0.25,0.775,14.22
442,0.25,0.8,13.3375
