0.04315, 0.00176, 0.01148, 0.01846, 0.00805, 0.01648, 0.07359, 0.01742
0.04861, 0.02530, 0.01429, 0.03059, 0.01173, 0.05119, 0.21057, 0.17291
0.04665, 0.03591, 0.03310, 0.08268, 0.00934, 0.05442, 0.15792, 0.18083
0.05755, 0.10972, 0.05582, 0.13026, 0.13487, 0.04028, 0.12612, 0.04113
0.06625, 0.14391, 0.04963, 0.10121, 0.03261, 0.02879, 0.18231, 0.07240
0.04859, 0.12654, 0.04546, 0.09616, 0.03012, 0.02529, 0.21185, 0.03949
0.03756, 0.00266, 0.01001, 0.02069, 0.00555, 0.01801, 0.10150, 0.01333
0.04612, 0.02745, 0.02411, 0.04139, 0.01305, 0.05038, 0.24456, 0.17654
0.03667, 0.01613, 0.01617, 0.02823, 0.00679, 0.01735, 0.10931, 0.01882
0.06513, 0.04696, 0.08401, 0.09671, 0.09191, 0.01378, 0.14262, 0.02725
0.05398, 0.12007, 0.04701, 0.12705, 0.01957, 0.03134, 0.16412, 0.04162
0.02047, 0.02084, 0.01525, 0.02542, 0.00612, 0.02768, 0.20901, 0.02955
0.04908, 0.01385, 0.02328, 0.07707, 0.00035, 0.08375, 0.25692, 0.10324
0.03528, 0.03317, 0.03111, 0.05030, 0.01565, 0.05015, 0.21156, 0.13968
0.04679, 0.01061, 0.02572, 0.06357, 0.00474, 0.08654, 0.28056, 0.06469
0.03388, 0.00487, 0.02161, 0.04421, 0.01519, 0.01754, 0.06074, 0.00501
0.05560, 0.08851, 0.05476, 0.09280, 0.10656, 0.02506, 0.16323, 0.01226
0.05348, 0.02061, 0.02007, 0.04840, 0.00604, 0.06174, 0.19090, 0.19735
0.05912, 0.05788, 0.08287, 0.12565, 0.06248, 0.01240, 0.13071, 0.00529
0.01910, 0.00793, 0.02071, 0.01889, 0.00606, 0.01485, 0.22431, 0.02961
0.02423, 0.00271, 0.01232, 0.01110, 0.00915, 0.01726, 0.16999, 0.03249
0.03509, 0.04916, 0.06239, 0.15807, 0.02501, 0.03340, 0.10531, 0.00573
0.03125, 0.03932, 0.02549, 0.06159, 0.00751, 0.06401, 0.19449, 0.15860
0.03839, 0.00682, 0.01602, 0.03021, 0.00944, 0.01939, 0.09767, 0.00854
0.04511, 0.00347, 0.01549, 0.03414, 0.00902, 0.01694, 0.07950, 0.00396
0.05703, 0.15416, 0.04962, 0.11845, 0.01868, 0.03148, 0.23744, 0.04779
0.03699, 0.04743, 0.04834, 0.14604, 0.03318, 0.03929, 0.07450, 0.00651
0.06862, 0.10418, 0.06265, 0.13940, 0.12789, 0.02904, 0.05996, 0.02425
0.04289, 0.02957, 0.03123, 0.10583, 0.00089, 0.10835, 0.28354, 0.11445
0.07522, 0.08201, 0.05167, 0.10379, 0.13795, 0.03327, 0.13431, 0.03839
0.03572, 0.05875, 0.06491, 0.20525, 0.02080, 0.03037, 0.05507, 0.00663
0.03527, 0.00139, 0.01413, 0.01242, 0.00683, 0.01337, 0.10915, 0.00785
0.04104, 0.03035, 0.01985, 0.05098, 0.00879, 0.05822, 0.17868, 0.18970
