,Theta,Phi
0,1.4020033810236523,0.6592747062167279
1,6.133234354892776,4.688702748850555
2,0.7300084165639221,2.6762930602670485
3,2.352334798827246,5.445508411289619
4,1.0689219778488905,4.121503343190337
5,1.179602032942125,1.3229830212825469
6,2.442418886611555,2.4191947244967786
7,1.390488664847675,0.026850810919302484
8,1.3130471954008687,0.5308191269287132
9,1.047054271806162,3.5491001787178953
10,0.46045600439828727,6.021210082671745
11,1.359240443825187,2.349247633785674
12,0.5932154860465121,5.682585805530394
13,0.19506566275950793,5.1064468598080754
14,2.505544552445898,5.39738214622929
15,6.146563217306336,3.8530169131253267
16,5.992826280581698,4.312377653369106
17,1.90473537512324,2.0679869695054487
18,1.5373134073282082,5.328543366331261
19,6.0485417712792575,5.246994923341452
20,3.3178815583990513,3.352555639407449
21,1.3702243643734844,4.390367447428743
22,1.165854006398998,0.3271148932662039
23,2.6179020574244993,3.044506520247573
24,2.410031517898533,5.745032020726486
25,2.9051825645601226,0.15862723355482636
26,2.259988146849484,1.013341319568883
27,1.5035160988056582,0.3818076388393361
28,0.862169171003798,5.064123592633685
29,1.0485875001867218,0.42667332619138976
30,0.6133617123758626,4.217988821534564
31,3.8846670765075033,3.8524220418553754
32,0.37397020574178835,0.14105147553271707
33,2.5557815341668837,4.139261414385401
34,0.49665178217949535,3.8636627254844518
35,0.7047936676253143,4.729669821216269
36,0.3007779258120038,5.554994304915202
37,1.052293631478947,1.7181517591139825
38,1.1443111995468112,4.152306009033211
39,1.2572025325389917,5.4573110847625195
40,0.5808296377736166,3.8839609547141043
41,1.842036608326585,2.1098010282767805
42,0.6871433353506115,4.217744353375603
43,3.0302552680362216,0.4889878617804075
44,2.1317931883899472,2.256005458179129
45,0.8855871914145046,4.879304992070677
46,1.006750449383302,6.221423980931143
47,1.3235373521488545,0.5511196632544595
48,2.6357627567835746,5.007729589985386
49,0.7243115697220766,5.8896655144188115
50,3.4687482141970065,1.5260599730580684
51,1.007253133637666,1.6779989237362702
52,2.346284350708478,4.524102875701374
53,1.2591013994489135,0.16903070118377106
54,0.4118063429963554,0.03699991607651409
55,2.1181583149644756,0.7420369919956981
