,Theta,Phi
0,2.330671390155452,2.8997192301685533
1,1.9655453440161945,0.338875297521207
2,1.844181870270036,4.698362861128745
3,2.3597308152336183,4.127807012755337
4,5.793295710646289,5.185531318869847
5,3.6829254834304557,6.251150138004491
6,3.2473127218873383,0.946655765364602
7,0.6275255338115223,4.159842814904566
8,0.6888737144223802,4.718798019285953
9,0.3017300959897805,0.1481328552207902
10,0.789321994716464,0.6350114458723366
11,6.273811577032226,6.0231839129741545
12,5.9800768194973655,2.7390883882068042
13,2.4526337581672704,2.5850185375953867
14,6.096492143820909,2.1656855193182225
15,0.5311751961202785,5.283132943709065
16,0.38154020202196104,5.404946347151716
17,1.0701228683626614,5.543117316186319
18,1.493306030203053,5.078856655397638
19,0.7578783189626316,0.12137625583869768
20,0.46780146494930297,2.739787291411032
21,4.827612432635678,3.8966525729751624
22,1.6485329448472565,1.3073039453261057
23,0.9349191018436728,1.4811423796645076
24,2.638014551506085,0.09414249841152256
25,5.048380538644849,6.244470611914679
26,1.3857023170037204,2.9060208816747735
27,1.872807654819699,3.0826951172694455
