,Theta,Phi
0,1.2774675288963977,5.636235697687272
1,1.6134485977049466,2.942535973639913
2,1.7798538036020255,4.657122172876054
3,2.4312331509500407,1.2789591524497286
4,3.956430765367765,4.761609807741789
5,1.1633580321632797,3.9376606181232905
6,1.664692174254176,5.802306026813735
7,1.4976105102872181,0.5504683191953563
8,1.256766573444364,4.43011045034458
9,2.661481171893469,0.8773333980826633
10,1.2024248518915654,0.4042887965916656
11,0.14749279616347222,5.979259318297026
12,4.80868822149521,3.676318082611302
13,1.744686435833411,4.911745703952026
14,0.9807364608111344,4.431726057530979
15,3.8652776277361554,1.0940421205153485
16,2.199694971076224,3.5089308811576077
17,2.985578107821367,3.6442864817834644
18,5.839822766183559,3.868412747739702
19,1.8303100949534803,6.142050745996091
20,1.2214949011850966,0.658276433941134
21,1.8358175323383235,0.7043638283086364
22,1.434746625642188,4.765883331477608
23,2.8348069177113633,6.049851592941009
24,0.626488463014856,4.925052386679523
25,1.31102621974702,0.4951182630019925
26,2.2027484284965775,5.286226193841173
27,1.214366820719696,0.13511450235577313
28,2.0800099085846617,3.935184531075535
29,1.3443033200272965,4.189951330149617
30,2.9093288117728076,3.9654017466097415
31,1.1673080459090266,5.890818629317314
32,1.1287825980073984,0.11600222586581319
33,1.4796181327464095,1.0728691156731751
34,1.682700449049345,2.706180055487442
35,0.5700388722603846,2.9851728126302115
36,3.8857063430186307,3.3292264182124156
37,0.9915607662941186,5.0166210974449905
38,0.947058457558758,4.360917542437292
39,1.249258342494635,1.798847246536839
40,3.3409720120220054,1.0099097165047937
41,5.614272510246591,0.04829559018864649
42,1.1922474549440703,2.051731797147931
43,2.197567273902043,4.809984889886545
44,2.174256791473426,5.404948023213995
45,1.7477934748003165,3.159341701388485
46,1.3859635711615752,0.31162047790954395
47,2.685929636593111,1.4475052194932285
48,1.2083149151630035,5.037942007841361
